Index,Type,Target/Station,Start Time,End Time,Duration (s),Priority
1,observation,Target_4,2026-02-11T00:06:00,2026-02-11T00:06:30,30.0,7.0
2,observation,Target_2,2026-02-11T02:09:00,2026-02-11T02:09:30,30.0,8.0
3,observation,Target_2,2026-02-11T03:45:00,2026-02-11T03:45:30,30.0,8.0
4,observation,Target_1,2026-02-11T05:21:00,2026-02-11T05:21:30,30.0,10.0
5,observation,Target_1,2026-02-11T06:57:00,2026-02-11T06:57:30,30.0,10.0
6,observation,Target_3,2026-02-11T08:08:00,2026-02-11T08:08:30,30.0,9.0
7,observation,Target_3,2026-02-11T09:44:00,2026-02-11T09:44:30,30.0,9.0
8,observation,Target_5,2026-02-11T10:27:00,2026-02-11T10:27:30,30.0,6.0
9,observation,Target_4,2026-02-11T11:44:00,2026-02-11T11:44:30,30.0,7.0
10,observation,Target_2,2026-02-11T12:53:00,2026-02-11T12:53:30,30.0,8.0
11,observation,Target_4,2026-02-11T13:20:00,2026-02-11T13:20:30,30.0,7.0
12,observation,Target_2,2026-02-11T14:27:00,2026-02-11T14:27:30,30.0,8.0
13,observation,Target_1,2026-02-11T16:04:00,2026-02-11T16:04:30,30.0,10.0
14,observation,Target_1,2026-02-11T17:37:00,2026-02-11T17:37:30,30.0,10.0
15,observation,Target_3,2026-02-11T21:13:00,2026-02-11T21:13:30,30.0,9.0
16,observation,Target_4,2026-02-11T22:26:00,2026-02-11T22:26:30,30.0,7.0
17,observation,Target_3,2026-02-11T22:47:00,2026-02-11T22:47:30,30.0,9.0
18,observation,Target_5,2026-02-11T23:40:00,2026-02-11T23:40:30,30.0,6.0
19,observation,Target_4,2026-02-11T23:59:00,2026-02-11T23:59:30,30.0,7.0
20,observation,Target_2,2026-02-12T02:02:00,2026-02-12T02:02:30,30.0,8.0
21,observation,Target_2,2026-02-12T03:37:00,2026-02-12T03:37:30,30.0,8.0
22,observation,Target_1,2026-02-12T05:14:00,2026-02-12T05:14:30,30.0,10.0
23,observation,Target_1,2026-02-12T06:49:00,2026-02-12T06:49:30,30.0,10.0
24,observation,Target_3,2026-02-12T08:01:00,2026-02-12T08:01:30,30.0,9.0
25,observation,Target_3,2026-02-12T09:37:00,2026-02-12T09:37:30,30.0,9.0
26,observation,Target_5,2026-02-12T10:19:00,2026-02-12T10:19:30,30.0,6.0
27,observation,Target_4,2026-02-12T11:37:00,2026-02-12T11:37:30,30.0,7.0
28,observation,Target_5,2026-02-12T11:57:00,2026-02-12T11:57:30,30.0,6.0
29,observation,Target_2,2026-02-12T12:46:00,2026-02-12T12:46:30,30.0,8.0
30,observation,Target_4,2026-02-12T13:12:00,2026-02-12T13:12:30,30.0,7.0
31,observation,Target_2,2026-02-12T14:20:00,2026-02-12T14:20:30,30.0,8.0
32,observation,Target_1,2026-02-12T15:57:00,2026-02-12T15:57:30,30.0,10.0
33,observation,Target_1,2026-02-12T17:30:00,2026-02-12T17:30:30,30.0,10.0
